matchid,teamid,win,kda,totdmgdealt,totdmgtochamp,totdmgtaken,goldearned,goldspent,totminionskilled,neutralminionskilled,champlvl,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills,duration
137060,100,0.0,1.6753216374269004,72.96847188685754,11.044498102794067,16.834770610555363,6.00248361503967,6.096585029320456,0.06836840289755088,0.00965850293204553,0.006071058985857193,0,1,0,0,0,1,0.002069679199724043,0.0,0.0,0.0006898930665746809,0.00034494653328734045,2899
137060,200,1.0,1.7685007974481657,78.20958951362539,13.913004484304931,14.101138323559846,6.958468437392204,6.434977578475336,0.0650569161779924,0.011866160745084512,0.006209037599172128,1,0,1,1,1,0,0.0037944118661607453,0.0013797861331493618,0.0010348395998620215,0.0010348395998620215,0.0,2899
137061,100,1.0,2.012698412698413,61.194364433312465,11.277144646211646,11.664245460237945,7.094301815904823,6.058234189104572,0.06487163431433939,0.013775829680651221,0.009016906700062615,1,0,1,1,0,1,0.005635566687539136,0.0012523481527864746,0.0006261740763932373,0.0006261740763932373,0.0006261740763932373,1597
137061,200,0.0,1.0533333333333332,46.83256105197246,6.700563556668754,13.55453976205385,5.255103318722606,4.832185347526614,0.06800250469630557,0.0057608015028177825,0.007764558547276144,0,1,0,0,1,0,0.0012523481527864746,0.0,0.0,0.0006261740763932373,0.0,1597
137062,100,0.0,2.12106227106227,55.010776545166394,9.535552033808768,15.16471209720021,5.9634442683571045,5.571368198626518,0.06117274167987321,0.013417855256207076,0.00792393026941363,0,0,0,0,1,0,0.0021130480718436345,0.0,0.0,0.001584786053882726,0.0,1893
137062,200,1.0,1.9463636363636363,67.13692551505547,12.189117802430005,13.54801901743265,7.100369783412572,6.454094030639197,0.06698362387744321,0.01225567881669308,0.008135235076597993,1,1,1,1,0,0,0.004754358161648178,0.0010565240359218173,0.0005282620179609086,0.0,0.0,1893
137063,100,0.0,0.6666666666666666,46.82494331065761,6.120332577475435,10.562811791383222,5.099773242630387,4.285714285714286,0.06742252456538171,0.009523809523809523,0.00816326530612245,0,0,0,0,0,0,0.0015117157974300832,0.0,0.0,0.0,0.0,1323
137063,200,1.0,2.0837301587301584,64.55706727135299,8.575661375661376,10.314436885865456,7.051398337112622,6.09599395313681,0.07074829931972787,0.012093726379440664,0.009674981103552532,1,1,1,1,1,1,0.006046863189720333,0.0007558578987150416,0.0007558578987150416,0.0015117157974300832,0.0007558578987150416,1323
137064,100,1.0,0.9088888888888886,75.07291462217862,8.540726202158979,8.74926398429833,6.908341511285576,6.292934249263984,0.07929342492639843,0.018645731108930325,0.008243375858684985,0,0,1,1,0,0,0.005397448478900883,0.001962708537782139,0.0004906771344455348,0.0009813542688910696,0.0,2038
137064,200,0.0,0.8888888888888887,68.25309126594699,6.168204121687928,11.171638861629047,5.588714425907752,5.3560353287536815,0.07684003925417075,0.013444553483807652,0.007360157016683024,1,1,0,0,1,1,0.001962708537782139,0.0,0.0,0.0009813542688910696,0.0004906771344455348,2038
137065,100,0.0,1.4523809523809523,55.31522887323944,7.124735915492956,11.178961267605633,5.3632042253521135,5.173239436619719,0.06540492957746477,0.011091549295774649,0.0065140845070422535,1,0,0,0,1,0,0.0017605633802816902,0.0,0.0,0.0008802816901408451,0.0,2272
137065,200,1.0,3.088888888888889,67.09427816901409,8.576320422535211,10.360827464788732,6.3451584507042265,5.969894366197183,0.07015845070422536,0.013468309859154929,0.007394366197183098,0,1,1,1,0,0,0.0022007042253521128,0.00044014084507042255,0.00044014084507042255,0.0008802816901408451,0.0,2272
137066,100,0.0,1.5185714285714285,59.63870967741936,7.161720430107526,11.982795698924729,5.490215053763441,5.21,0.07548387096774194,0.01,0.008064516129032258,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1860
137066,200,1.0,1.3142857142857145,68.19344086021505,9.65451612903226,10.22516129032258,7.09247311827957,6.175053763440861,0.07333333333333332,0.012043010752688172,0.00849462365591398,1,1,1,1,1,0,0.005913978494623656,0.002150537634408602,0.001075268817204301,0.0016129032258064516,0.0,1860
137067,100,0.0,1.835,55.07666135034557,8.45231259968102,11.167783094098883,5.452737905369483,5.470494417862838,0.058054226475279115,0.01286549707602339,0.007442849548112706,1,0,0,1,0,0,0.001594896331738437,0.0,0.000531632110579479,0.000531632110579479,0.0,1881
137067,200,1.0,2.8625,61.30834662413611,8.726103136629453,11.890377458798511,6.825624667729932,6.276980329611907,0.06741095162147794,0.009782030834662413,0.007974481658692184,0,1,1,0,1,1,0.00531632110579479,0.001063264221158958,0.000531632110579479,0.001063264221158958,0.000531632110579479,1881
137068,100,0.0,1.5966666666666665,74.29010466222644,9.443958135109419,11.526926736441483,5.619885823025688,5.191246431969553,0.07935299714557564,0.011512844909609896,0.007611798287345386,1,1,0,0,1,0,0.0009514747859181732,0.0,0.0,0.0019029495718363464,0.0,2102
137068,200,1.0,1.6180952380952378,76.21313035204567,8.258230256898193,13.70266412940057,6.7960989533777365,6.358991436726928,0.08049476688867745,0.016460513796384395,0.007992388201712655,0,0,1,1,0,0,0.005233111322549952,0.0014272121788772598,0.0004757373929590866,0.0,0.0,2102
137069,100,0.0,1.125714285714286,74.19734042553192,11.71193009118541,14.83092705167173,6.577659574468084,6.390197568389058,0.060258358662613976,0.01458966565349544,0.0067629179331307,0,0,1,1,1,0,0.00303951367781155,0.001519756838905775,0.0007598784194528875,0.0011398176291793312,0.0,2632
137069,200,1.0,1.4828571428571429,91.94741641337386,11.390349544072947,15.138677811550153,6.709498480243162,6.627887537993921,0.08297872340425533,0.013069908814589665,0.006686930091185411,1,1,0,0,0,1,0.003419452887537994,0.00037993920972644377,0.00037993920972644377,0.00037993920972644377,0.00037993920972644377,2632
